DateTime, Accuracy,Precision,Recall,Hidden Layers, Hidden Neurons,Training Function,Training Time 
6/3/2024 0:20,12.711111,0.029767,0.137385,1,1,SCG,15.988403
6/3/2024 0:21,29.333333,0.244278,0.32237,1,3,SCG,7.645911
6/3/2024 0:22,42.755556,0.396362,0.443542,1,5,SCG,8.678651
6/3/2024 0:23,54.4,0.532618,0.551969,1,10,SCG,11.324805
6/3/2024 0:24,57.955556,0.566411,0.575479,1,15,SCG,12.039703
6/3/2024 0:25,58.755556,0.581807,0.591506,1,20,SCG,12.470598
6/3/2024 0:26,60.444444,0.60396,0.604138,1,30,SCG,13.64732
6/3/2024 0:29,59.288889,0.586955,0.600308,1,40,SCG,29.056544
6/3/2024 0:31,59.822222,0.580737,0.593896,1,50,SCG,22.225571
6/3/2024 0:33,60,0.594017,0.602696,1,60,SCG,25.441066
6/3/2024 0:35,55.2,0.553606,0.554492,1,70,SCG,27.286603
6/3/2024 0:38,61.866667,0.606832,0.617267,1,80,SCG,30.445046
6/3/2024 0:41,62.4,0.603832,0.618666,1,90,SCG,36.086716
6/3/2024 0:44,59.911111,0.585972,0.594884,1,100,SCG,42.484026
6/3/2024 0:44,6.577778,0.004405,0.066667,1,1,RP,2.141335
6/3/2024 0:45,5.244444,0.003508,0.066667,1,3,RP,2.237776
6/3/2024 0:45,4.8,0.003214,0.066667,1,5,RP,2.041697
6/3/2024 0:45,19.111111,0.104118,0.223432,1,10,RP,3.293793
6/3/2024 0:46,8.711111,0.081668,0.111153,1,15,RP,4.963561
6/3/2024 0:46,17.777778,0.126803,0.213965,1,20,RP,5.889682
6/3/2024 0:47,20.977778,0.180563,0.236291,1,30,RP,7.067645
6/3/2024 0:47,9.866667,0.021256,0.118,1,40,RP,8.581467
6/3/2024 0:48,25.422222,0.179163,0.291362,1,50,RP,11.358345
6/3/2024 0:50,15.466667,0.122827,0.183527,1,60,RP,15.83107
6/3/2024 0:51,7.911111,0.033662,0.080167,1,70,RP,8.905702
6/3/2024 0:52,13.777778,0.116718,0.15848,1,80,RP,17.664332
6/3/2024 0:54,18.133333,0.138455,0.201421,1,90,RP,21.121689
6/3/2024 0:55,16.711111,0.137925,0.187466,1,100,RP,18.291211
6/3/2024 0:56,11.911111,0.016844,0.130476,1,1,OSS,5.480809
6/3/2024 0:56,24.088889,0.163641,0.249145,1,3,OSS,7.217699
6/3/2024 0:57,11.555556,0.042706,0.133481,1,5,OSS,6.90812
6/3/2024 0:59,30.577778,0.279559,0.345011,1,10,OSS,19.535376
6/3/2024 1:01,55.288889,0.545871,0.548564,1,15,OSS,25.956318
6/3/2024 1:03,56.088889,0.541482,0.561717,1,20,OSS,29.928876
6/3/2024 1:06,58.133333,0.573595,0.584414,1,30,OSS,28.699338
6/3/2024 1:09,19.022222,0.10999,0.219306,1,40,OSS,41.348005
6/3/2024 1:13,58.933333,0.578313,0.593909,1,50,OSS,44.305408
6/3/2024 1:19,46.488889,0.425351,0.472174,1,60,OSS,74.665285
6/3/2024 1:24,56.977778,0.5701,0.574064,1,70,OSS,54.187472
6/3/2024 1:29,58.133333,0.577125,0.583317,1,80,OSS,62.141297
6/3/2024 1:47,51.911111,0.544673,0.535871,1,90,OSS,210.232695
6/3/2024 2:01,54.666667,0.537441,0.550117,1,100,OSS,172.70139
6/3/2024 2:01,4.266667,0.005263,0.064,1,1,GDX,2.541865
6/3/2024 2:02,18.133333,0.09403,0.161311,1,3,GDX,3.260732
6/3/2024 2:02,8.622222,0.041898,0.090135,1,5,GDX,2.41262
6/3/2024 2:02,45.422222,0.370053,0.461063,1,10,GDX,4.346937
6/3/2024 2:03,51.555556,0.48187,0.507416,1,15,GDX,6.198341
6/3/2024 2:03,52.888889,0.509489,0.533694,1,20,GDX,8.365194
6/3/2024 2:04,55.555556,0.554654,0.55783,1,30,GDX,9.064888
6/3/2024 2:05,56.177778,0.572051,0.568958,1,40,GDX,11.88008
6/3/2024 2:07,56.533333,0.554633,0.568173,1,50,GDX,17.076384
6/3/2024 2:08,55.555556,0.553194,0.554596,1,60,GDX,17.066778
6/3/2024 2:10,51.822222,0.507353,0.512209,1,70,GDX,22.866032
6/3/2024 2:12,57.688889,0.575499,0.575478,1,80,GDX,23.920506
6/3/2024 2:15,50.577778,0.544806,0.513728,1,90,GDX,29.989656
6/3/2024 2:17,51.822222,0.489088,0.507226,1,100,GDX,27.617817
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
